nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName
FDEPT00101,201,188,1,Tower,DEPT,Center for International Medicine,CIM
FDEPT00201,194,486,1,Tower,DEPT,Bretholtz Center for Patients and Families,Bretholtz WR
FDEPT00301,387,282,1,Tower,DEPT,Multifaith Chapel,Chapel
FDEPT00401,374,508,1,Tower,DEPT,Sharf Admitting Center,Sharf Center
FDEPT00501,-1,-1,1,Tower,DEPT,Emergency Department,Emergency
FDEPT00601,357,390,1,Tower,DEPT,International Patient Center,IPC
FEXIT00101,-1,-1,1,Tower,EXIT,Shattuck Street Lobby Exit,Shattuck St. Exit
FEXIT00201,-1,-1,1,Tower,EXIT,75 Francis Valet Drop-off,75 Francis Exit
FEXIT00301,-1,-1,1,Tower,EXIT,Emergency Department Entrance,Emergency Entrance
FHALL00101,-1,-1,1,Tower,HALL,Lower Pike Hallway Exit Lobby,Hallway F00101
FHALL00201,-1,-1,1,Tower,HALL,Lobby Shattuck Street,Hallway F00201
FHALL00301,-1,-1,1,Tower,HALL,Shattuck Street Lobby 1,Hallway F00301
FHALL00401,530,286,1,Tower,HALL,Shattuck Street Lobby 2,Hallway F00401
FHALL00501,542,289,1,Tower,HALL,Shattuck Street Lobby 3,Hallway F00501
FHALL00601,476,289,1,Tower,HALL,Tower Lobby Entrance 1,Tower Entrance
FHALL00701,344,287,1,Tower,HALL,Tower Elevator Entrance,Hallway F00701
FHALL00801,342,213,1,Tower,HALL,Tower Hallway 1,Hallway F00801
FHALL00901,209,213,1,Tower,HALL,Tower Hallway 2,Hallway F00901
FHALL01001,209,163,1,Tower,HALL,Tower Hallway 3,Hallway F01001
FHALL01101,209,293,1,Tower,HALL,Tower Hallway 4,Hallway F01101
FHALL01201,164,930,1,Tower,HALL,Tower Staff Entrance,Hallway F01201
FHALL01301,207,188,1,Tower,HALL,Tower Hallway 5,Hallway F01301
FHALL01401,207,380,1,Tower,HALL,Tower Hallway 6,Hallway F01401
FHALL01501,207,404,1,Tower,HALL,Tower Hallway 7,Hallway F01501
FHALL01601,333,404,1,Tower,HALL,Tower Hallway 8,Hallway F01601
FHALL01701,305,324,1,Tower,HALL,Tower Hallway 9,Hallway F01701
FHALL01801,342,324,1,Tower,HALL,Tower Hallway 10,Hallway F01801
FHALL01901,1758,485,1,Tower,HALL,Tower Hallway 11,Hallway F01901
FHALL02001,290,485,1,Tower,HALL,Tower Hallway 12,Hallway F02001
FHALL02101,316,507,1,Tower,HALL,Tower Hallway Entrance,Tower Entrance 2
FHALL02201,-1,-1,1,Tower,HALL,Hallway Lobby Entrance,Entrance Hallway
FHALL02301,-1,-1,1,Tower,HALL,Lobby Hallway 1,Hallway F02301
FHALL02401,-1,-1,1,Tower,HALL,Lobby Hallway 2,Hallway F02401
FHALL02501,-1,-1,1,Tower,HALL,Lobby Hallway 3,Hallway F02501
FHALL02601,-1,-1,1,Tower,HALL,Lobby Hallway 4,Hallway F02601
FHALL02701,-1,-1,1,Tower,HALL,Lobby Hallway 7,Hallway F02701
FHALL02801,-1,-1,1,Tower,HALL,Lobby Entrance Hallway,HallwayF02801
FHALL02901,-1,-1,1,Tower,HALL,75 Lobby,75 Lobby
FHALL03001,-1,-1,1,Tower,HALL,Lobby Hallway 5,Hallway F02701
FHALL03101,-1,-1,1,Tower,HALL,Lobby Hallway 6,Hallway F02801
FHALL03201,342,392,1,Tower,HALL,Tower Hallway 13,Hallway F03201
FHALL03301,-1,-1,1,Tower,HALL,Emergency Hallway,Hallway F03301
FINFO00101,-1,-1,1,Tower,INFO,75 Lobby Information Desk,Lobby Info Desk
FLABS00101,-1,-1,1,Tower,LABS,Obstetrics Admitting,Obs Admitting
FREST00101,-1,-1,1,Tower,REST,Bathroom 75 Lobby,Bathroom Lobby
FRETL00101,553,205,1,Tower,RETL,Lobby Vending Machine,VM Lobby
FRETL00201,-1,-1,1,Tower,RETL,Au Bon Pain,ABP
FSERV00101,530,231,1,Tower,SERV,Shattuck Street Lobby ATM,Lobby ATM
FSERV00201,190,390,1,Tower,SERV,Tower Medical Cashier,Tower Cashier
FSERV00301,290,529,1,Tower,SERV,Kessler Library,Kessler Library
FSERV00401,302,330,1,Tower,DEPT,Spiritual Care Office,SCO
FSERV00501,-1,-1,1,Tower,SERV,75 Lobby Valet Cashier,Valet Cashier
FSTAI00101,-1,-1,1,Tower,STAI,Lobby Shattuck Street Stairs,Stairway F00101
FSTAI00201,265,163,1,Tower,STAI,Tower Stairway 1,Tower Stairs 1
FSTAI00301,-1,-1,1,Tower,STAI,Lobby Escalator,Lobby Escalator
WELEV00L01,393,289,1,Tower,ELEV,Elevator L Floor 1,Elevator L1
WELEV00M01,-1,-1,1,Tower,ELEV,Elevator M Floor 1,Elevator M1
HBATH00102,192,386,2,Tower,BATH,Bathroom 1 Tower Floor 2,Bathroom 0102
HDEPT00102,-1,-1,2,Tower,DEPT,Endoscopy,Endoscopy
HHALL00102,457,295,2,Tower,HALL,Hallway Connector 1 Floor 2,Hallway H00102
HHALL00202,545,273,2,Tower,HALL,Hallway Connector 2 Floor 2,Hallway H00202
HHALL00302,-1,-1,2,Tower,HALL,Hallway Connector 3 Floor 2,Hallway H00302
HHALL00402,457,400,2,Tower,HALL,Hallway Connector 4 Floor 2,Hallway H00402
HHALL00502,413,400,2,Tower,HALL,Hallway Connector 5 Floor 2,Hallway H00502
HHALL00602,356,468,2,Tower,HALL,Hallway Connector 6 Floor 2,Hallway H00602
HHALL00702,328,539,2,Tower,HALL,Hallway Connector 7 Floor 2,Hallway H00702
HHALL00802,-1,-1,2,Tower,HALL,Hallway Connector 8 Floor 2,Hallway H00802
HHALL00902,-1,-1,2,Tower,HALL,Hallway Connector 9 Floor 2,Hallway H00902
HHALL01002,-1,-1,2,Tower,HALL,Hallway Connector 10 Floor 2,Hallway H01002
HRETL00102,520,860,2,Tower,RETL,Garden Cafe,Garden Cafe
HRETL00202,203,396,2,Tower,RETL,Vending Machine Floor 2?,Vending Machine
HRETL00302,414,450,2,Tower,RETL,Gift Shop Tower Floor 2,Gift Shop
HSTAI00102,-1,-1,2,Tower,STAI,Stairwell 1 Floor 2,Stairwell 0102
HSTAI00202,276,549,2,Tower,STAI,Stairwell 2 Tower Floor 2,Stairwell 0202
HSTAI00302,-1,-1,2,Tower,STAI,Escalator 1 Floor 2,Escalator 1 Floor 2
WELEV00L02,390,290,2,Tower,ELEV,Elevator L Floor 2,Elevator L2
WELEV00M02,-1,-1,2,Tower,ELEV,Elevator M Floor 2,Elevator M2
WHALL00702,-1,-1,2,Tower,HALL,Hallway Connector 7 Floor 2,Hallway W0702
HBATH00103,392,194,3,Tower,BATH,Bathroom 1 Tower Floor 3,Bathroom 0103
HBATH00203,356,346,3,Tower,BATH,Bathroom 2 Tower Floor 3,Bathroom 0203
HDEPT00103,331,265,3,Tower,DEPT,Dialysis Waiting Room,Dialysis WR
HDEPT00203,293,194,3,Tower,DEPT,MICU 3BC Waiting Room,MICU 3BC WR
HHALL00103,-1,-1,3,Tower,HALL,Hallway Connector 1 Floor 3,Hallway H00103
HHALL00203,-1,-1,3,Tower,HALL,Hallway Connector 2 Floor 3,Hallway H00203
HHALL00303,-1,-1,3,Tower,HALL,Hallway Connector 3 Floor 3,Hallway H00303
HHALL00403,-1,-1,3,Tower,HALL,Hallway Connector 4 Floor 3,Hallway H00403
HHALL00503,-1,-1,3,Tower,HALL,Hallway Connector 5 Floor 3,Hallway H00502
HHALL00603,340,286,3,Tower,HALL,Hallway Connector 6 Floor 3,Hallway H00603
HHALL00703,340,261,3,Tower,HALL,Hallway Connector 7 Floor 3,Hallway H00703
HHALL00803,340,227,3,Tower,HALL,Hallway Connector 8 Floor 3,Hallway H00803
HHALL00903,340,183,3,Tower,HALL,Hallway Connector 9 Floor 3,Hallway H00903
HHALL01003,392,183,3,Tower,HALL,Hallway Connector 10 Floor 3,Hallway H01003
HHALL01103,293,183,3,Tower,HALL,Hallway Connector 11 Floor 3,Hallway H01103
HHALL01203,207,183,3,Tower,HALL,Hallway Connector 12 Floor 3,Hallway H01203
HHALL01303,207,296,3,Tower,HALL,Hallway Connector 13 Floor 3,Hallway H01303
HHALL01403,340,396,3,Tower,HALL,Hallway Connector 14 Floor 3,Hallway H01403
HHALL01503,340,350,3,Tower,HALL,Hallway Connector 15 Floor 3,Hallway H01503
HLABS00103,-1,-1,3,Tower,LABS,Reproductive Endocrine Labs,Reproductive Endocrine Labs
HSERV00103,356,227,3,Tower,SERV,Nursing Room,Nursing Room
HSTAI00103,-1,-1,3,Tower,STAI,Stairwell 1 Floor 3,Stairwell
WELEV00L03,392,286,3,Tower,ELEV,Elevator L Floor 3,Elevator L3
WELEV00M03,-1,-1,3,Tower,ELEV,Elevator M Floor 3,Elevator M3
CDEPT002L1,-1,-1,L1,Tower,DEPT,Day Surgery Family Waiting Floor L1,Department C002L1
CDEPT003L1,452,207,L1,Tower,DEPT,Day Surgery Family Waiting Exit Floor L1,Department C003L1
CHALL001L1,342,285,L1,Tower,HALL,Hallway 1 Floor L1,Hallway C001L1
CHALL005L1,-1,-1,L1,Tower,HALL,Hallway 5 Floor L1,Hallway C005L1
CHALL006L1,-1,-1,L1,Tower,HALL,Hallway 6 Floor L1,Hallway C006L1
CHALL007L1,-1,-1,L1,Tower,HALL,Hallway 7 Floor L1,Hallway C007L1
CHALL014L1,455,286,L1,Tower,HALL,Hallway 14 Floor L1,Hallway C014L1
CLABS001L1,-1,-1,L1,Tower,LABS,Outpatient Fluoroscopy Floor L1,Lab C001L1
CLABS002L1,347,452,L1,Tower,LABS,Pre-Op PACU Floor L1,Lab C002L1
CREST001L1,336,381,L1,Tower,REST,Restroom L Elevator Floor L1,Restroom C001L1
CREST002L1,-1,-1,L1,Tower,REST,Restroom M Elevator Floor L1,Restroom C002L1
WELEV00LL1,391,282,L1,Tower,ELEV,Elevator L Floor L1,Elevator LL1
WELEV00ML1,-1,-1,L1,Tower,ELEV,Elevator M Floor L1,Elevator ML1
CHALL005L2,-1,-1,L2,Tower,HALL,Hallway 5 Floor L2,Hallway C005L2
CHALL006L2,328,357,L2,Tower,HALL,Hallway 6 Floor L2,Hallway C006L2
CHALL007L2,313,357,L2,Tower,HALL,Hallway 7 Floor L2,Hallway C007L2
CHALL008L2,316,281,L2,Tower,HALL,Hallway 8 Floor L2,Hallway C008L2
CHALL009L2,316,209,L2,Tower,HALL,Hallway 9 Floor L2,Hallway C009L2
CHALL010L2,-1,-1,L2,Tower,HALL,Hallway 10 Floor L2,Hallway C010L2
WELEV00LL2,371,208,L2,Tower,ELEV,Elevator L Floor L2,Elevator LL2
